Region.ChiRegion,Region.EngRegion,District.ChiDistrict,District.EngDistrict,Street.ChiStreetName,Street.EngStreetName,Street.StreetNoFrom,Street.StreetNoTo,Estate.ChiEstateName,Estate.EngEstateName,Estate.ChiPhaseName,Estate.EngPhaseName,Estate.PhaseNo,Block.BlockNo,Block.ChiBlockDescriptor,Block.EngBlockDescriptor,Building.ChiBuildingName,Building.EngBuildingName,GeoAddress
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,卑路乍街,BELCHER'S STREET,2B,,,,,,,,,,,,3172916395T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,山市街,SANDS STREET,1,,海怡花園,HARBOUR VIEW GARDEN,,,,1,座,TOWER,,,3139816072T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,高街,HIGH STREET,25A,,,,,,,,,,,,3276516257T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,卑路乍街,BELCHER'S STREET,18A,,,,,,,,,,如意大樓,YUE YEE MANSION,3153816090T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,吉席街,CATCHICK STREET,38,,,,,,,,,,錦輝大樓,KAM FAI HSE,3121916032T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,青蓮臺,CHING LIN TERRACE,3,,,,,,,,,,,,3155315948T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,厚和街,HAU WO STREET,8,,,,,,,,,,滿發大廈,FULL HARVEST BUILDING,3120015991P20050621
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,荷蘭街,HOLLAND STREET,1,,,,,,,,,,建益大樓,KIN YICK MANSION,3153216151T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,龍華街,LUNG WAH STREET,20,,觀龍樓,KWUN LUNG LAU,,,,C,座,BLK,,,3124415737T20050430
香港,HK,中西區,CENTRAL & WESTERN DISTRICT,俊榮里,TSUN WING LANE,5,,,,,,,,,,,,3379215903T20050430
